               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10816,            0.028778,                   0,           0.0012963,             0.36842,            0.003413,          0.00079823,            0.088325,            0.021538,                   0,            0.003295,            0.003295,            0.070345
                   1,            0.087307,            0.022031,                   0,            0.019041,             0.68085,            0.079575,            0.022277,            0.070267,            0.016289,                   0,           0.0065955,           0.0065955,            0.040312
                   2,            0.087722,            0.016198,                   0,           0.0034483,             0.95745,              0.1368,            0.039637,            0.078558,            0.012717,                   0,           0.0098631,           0.0098631,            0.010246
                   3,            0.077516,            0.017361,                   0,             0.16005,             0.58511,             0.28713,            0.070041,             0.07328,            0.011803,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,             0.06918,            0.017922,                   0,             0.73662,             0.61702,             0.68014,             0.18795,            0.055384,            0.012348,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.057687,             0.01746,                   0,             0.76366,             0.65957,             0.70329,             0.28335,            0.057547,            0.011022,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.057533,            0.015289,                   0,             0.62437,             0.60638,             0.64175,             0.26619,            0.048351,            0.010317,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.050763,            0.015275,                   0,             0.73274,             0.70002,             0.74207,              0.2882,            0.045058,           0.0095517,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.046743,            0.014353,                   0,              0.7113,             0.70773,             0.76999,             0.35296,            0.040853,           0.0089452,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.048147,            0.012683,                   0,             0.92243,             0.73404,             0.85694,              0.3827,            0.043161,           0.0085122,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.044805,            0.012359,                   0,             0.87705,             0.75532,             0.87569,             0.39157,             0.04165,           0.0076944,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.045051,            0.011904,                   0,             0.89728,             0.80851,             0.88343,             0.42986,            0.037862,           0.0073434,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.041235,            0.010883,                   0,             0.84468,             0.85106,             0.85826,             0.41779,            0.041801,           0.0070611,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.04231,            0.010973,                   0,              0.8192,             0.81943,             0.85334,             0.32529,            0.044148,           0.0065594,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.042923,            0.010383,                   0,             0.87783,             0.84082,             0.90206,             0.51261,            0.037273,            0.006378,                   0,           0.0093565,           0.0093565,           0.0093565
